"id","organization_id","student_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
138,1,19,2022-05-25,,"16:05:02","17:12:00",,,"1",,2022-05-25 16:05:02.000,2022-05-25 17:12:00.000,
139,1,31,2022-05-25,,"17:53:55","18:42:07",,,"1",,2022-05-25 17:53:55.000,2022-05-25 18:42:07.000,
140,1,3,2022-05-26,,"15:57:03","16:43:10",,,"1",,2022-05-26 15:57:03.000,2022-05-26 16:43:10.000,
141,1,9,2022-05-26,,"17:00:57","17:40:41",,,"1",,2022-05-26 17:00:57.000,2022-05-26 17:40:41.000,
142,1,10,2022-05-26,,"17:58:05","18:41:00",,,"1",,2022-05-26 17:58:05.000,2022-05-26 18:41:00.000,
143,1,49,2022-05-26,,"18:12:14","18:12:25",,,"1",,2022-05-26 18:12:14.000,2022-05-26 18:12:25.000,
144,1,48,2022-05-26,,"18:12:19","18:12:28",,,"1",,2022-05-26 18:12:19.000,2022-05-26 18:12:28.000,
145,1,17,2022-05-27,,"16:57:00",,,,"1",,2022-05-27 16:57:00.000,2022-05-27 16:57:00.000,
146,1,16,2022-05-27,,"16:57:07",,,,"1",,2022-05-27 16:57:07.000,2022-05-27 16:57:07.000,
147,1,43,2022-05-27,,"17:59:36","18:40:19",,,"1",,2022-05-27 17:59:36.000,2022-05-27 18:40:19.000,
148,1,44,2022-05-27,,"17:59:45","18:40:22",,,"1",,2022-05-27 17:59:45.000,2022-05-27 18:40:22.000,
149,1,39,2022-05-28,,"12:57:23","13:44:57",,,"1",,2022-05-28 12:57:23.000,2022-05-28 13:44:57.000,
150,1,32,2022-05-28,,"15:54:19","16:44:18",,,"1",,2022-05-28 15:54:19.000,2022-05-28 16:44:18.000,
151,1,50,2022-05-28,,"15:00:27","15:45:34",,,"1",,2022-05-28 17:23:27.000,2022-05-28 17:24:20.000,
152,1,4,2022-05-30,,"16:51:39","17:32:22",,,"1",,2022-05-30 16:51:39.000,2022-05-30 17:32:22.000,
153,1,15,2022-05-30,,"16:57:47","17:33:37",,,"1",,2022-05-30 16:57:47.000,2022-05-30 17:33:37.000,
154,1,11,2022-05-30,,"17:57:39","18:41:07",,,"1",,2022-05-30 17:57:39.000,2022-05-30 18:41:07.000,
155,1,12,2022-05-30,,"18:00:27","18:41:05",,,"1",,2022-05-30 18:00:27.000,2022-05-30 18:41:05.000,
156,1,42,2022-05-31,,"16:53:01","17:43:09",,,"1",,2022-05-31 16:53:01.000,2022-05-31 17:43:09.000,
157,1,45,2022-05-31,,"16:58:46","17:43:02",,,"1",,2022-05-31 16:58:46.000,2022-05-31 17:43:02.000,
158,1,49,2022-05-31,,"17:10:14","17:44:45",,,"1",,2022-05-31 17:10:14.000,2022-05-31 17:44:45.000,
159,1,36,2022-05-31,,"18:13:12","18:52:04",,,"1",,2022-05-31 18:13:12.000,2022-05-31 18:52:04.000,
160,1,1,2022-05-31,,"19:14:51","19:58:11",,,"1",,2022-05-31 19:14:51.000,2022-05-31 19:58:11.000,
161,1,48,2022-06-01,,"17:00:14","17:41:08",,,"1",,2022-06-01 17:00:14.000,2022-06-01 17:41:08.000,
162,1,31,2022-06-01,,"17:55:17","18:45:21",,,"1",,2022-06-01 17:55:17.000,2022-06-01 18:45:21.000,
163,1,3,2022-06-02,,"15:53:38","16:39:14",,,"1",,2022-06-02 15:53:38.000,2022-06-02 16:39:14.000,
164,1,23,2022-06-02,,"16:00:19","16:39:09",,,"1",,2022-06-02 16:00:19.000,2022-06-02 16:39:09.000,
165,1,30,2022-06-03,,"16:09:17","16:58:37",,,"1",,2022-06-03 16:09:17.000,2022-06-03 16:58:37.000,
166,1,39,2022-06-04,,"12:57:22","13:49:36",,,"1",,2022-06-04 12:40:11.000,2022-06-04 13:49:36.000,
167,1,32,2022-06-04,,"15:52:40","16:44:07",,,"1",,2022-06-04 15:52:40.000,2022-06-04 16:44:07.000,
168,1,4,2022-06-06,,"16:47:16","17:32:42",,,"1",,2022-06-06 16:47:16.000,2022-06-06 17:32:42.000,
169,1,2,2022-06-06,,"16:57:46","17:36:58",,,"1",,2022-06-06 16:57:46.000,2022-06-06 17:36:58.000,
170,1,7,2022-06-06,,"16:57:49","17:36:59",,,"1",,2022-06-06 16:57:49.000,2022-06-06 17:36:59.000,
171,1,42,2022-06-07,,"16:54:47","17:40:58",,,"1",,2022-06-07 16:54:47.000,2022-06-07 17:40:58.000,
172,1,45,2022-06-07,,"16:59:51","17:40:42",,,"1",,2022-06-07 16:59:51.000,2022-06-07 17:40:42.000,
173,1,19,2022-06-08,,"16:10:59","17:00:29",,,"1",,2022-06-08 16:10:59.000,2022-06-08 17:00:29.000,
174,1,48,2022-06-08,,"17:07:02","17:51:41",,,"1",,2022-06-08 17:07:02.000,2022-06-08 17:51:41.000,
175,1,31,2022-06-08,,"18:10:20","18:42:57",,,"1",,2022-06-08 18:10:20.000,2022-06-08 18:42:57.000,
176,1,3,2022-06-09,,"15:55:41","16:40:33",,,"1",,2022-06-09 15:55:41.000,2022-06-09 16:40:33.000,
177,1,9,2022-06-09,,"17:01:16","17:44:40",,,"1",,2022-06-09 17:01:16.000,2022-06-09 17:44:40.000,
178,1,10,2022-06-09,,"17:58:00","18:42:04",,,"1",,2022-06-09 17:58:00.000,2022-06-09 18:42:04.000,
179,1,16,2022-06-10,,"16:52:59","17:40:36",,,"1",,2022-06-10 16:52:59.000,2022-06-10 17:40:36.000,
180,1,17,2022-06-10,,"16:55:00","17:40:47",,,"1",,2022-06-10 16:55:00.000,2022-06-10 17:40:47.000,
181,1,43,2022-06-10,,"17:56:43","18:40:53",,,"1",,2022-06-10 17:56:43.000,2022-06-10 18:40:53.000,
182,1,44,2022-06-10,,"17:56:45","18:40:56",,,"1",,2022-06-10 17:56:45.000,2022-06-10 18:40:56.000,
183,1,46,2022-06-11,,"15:52:08","16:43:07",,,"1",,2022-06-11 15:52:08.000,2022-06-11 16:43:07.000,
184,1,22,2022-06-11,,"17:00:29","18:37:52",,,"1",,2022-06-11 16:59:11.000,2022-06-11 18:37:52.000,
185,1,28,2022-06-11,,"17:10:40","18:38:00",,,"1",,2022-06-11 16:59:21.000,2022-06-11 18:38:00.000,
186,1,21,2022-06-11,,"17:13:39","18:37:57",,,"1",,2022-06-11 16:59:44.000,2022-06-11 18:37:57.000,
187,1,27,2022-06-11,,"17:13:41","18:38:01",,,"1",,2022-06-11 16:59:52.000,2022-06-11 18:38:01.000,
188,1,26,2022-06-11,,"17:56:21","18:37:46",,,"1",,2022-06-11 17:56:21.000,2022-06-11 18:37:46.000,
189,1,4,2022-06-13,,"16:49:15","17:33:16",,,"1",,2022-06-13 16:49:15.000,2022-06-13 17:33:16.000,
190,1,7,2022-06-13,,"16:50:54","17:34:47",,,"1",,2022-06-13 16:50:54.000,2022-06-13 17:34:47.000,
191,1,2,2022-06-13,,"16:50:58","17:34:42",,,"1",,2022-06-13 16:50:58.000,2022-06-13 17:34:42.000,
192,1,15,2022-06-13,,"17:34:21","17:34:24",,,"1",,2022-06-13 17:34:21.000,2022-06-13 17:34:24.000,
193,1,12,2022-06-13,,"18:00:53","18:41:09",,,"1",,2022-06-13 18:00:53.000,2022-06-13 18:41:09.000,
194,1,11,2022-06-13,,"18:00:54","18:41:07",,,"1",,2022-06-13 18:00:54.000,2022-06-13 18:41:07.000,
195,1,24,2022-06-13,,"18:52:24","19:35:56",,,"1",,2022-06-13 18:52:24.000,2022-06-13 19:35:56.000,
196,1,49,2022-06-14,,"16:57:46","17:41:40",,,"1",,2022-06-14 16:57:46.000,2022-06-14 17:41:40.000,
197,1,23,2022-06-15,,"15:57:50","16:41:41",,,"1",,2022-06-15 15:57:50.000,2022-06-15 16:41:41.000,
198,1,48,2022-06-15,,"17:08:00","17:51:33",,,"1",,2022-06-15 17:08:00.000,2022-06-15 17:51:33.000,
199,1,31,2022-06-15,,"17:52:05","18:42:05",,,"1",,2022-06-15 17:52:05.000,2022-06-15 18:42:05.000,
200,1,1,2022-06-15,,"19:11:18","20:02:57",,,"1",,2022-06-15 19:11:18.000,2022-06-15 20:02:57.000,
201,1,3,2022-06-16,,"15:53:13","16:43:24",,,"1",,2022-06-16 15:53:13.000,2022-06-16 16:43:24.000,
202,1,9,2022-06-16,,"17:00:12","17:40:38",,,"1",,2022-06-16 17:00:12.000,2022-06-16 17:40:38.000,
203,1,10,2022-06-16,,"17:58:20","18:39:07",,,"1",,2022-06-16 17:58:20.000,2022-06-16 18:39:07.000,
204,1,30,2022-06-17,,"15:52:34","16:40:41",,,"1",,2022-06-17 15:52:34.000,2022-06-17 16:40:41.000,
205,1,16,2022-06-17,,"17:04:22","17:40:10",,,"1",,2022-06-17 17:04:22.000,2022-06-17 17:40:10.000,
206,1,17,2022-06-17,,"17:04:25","17:40:09",,,"1",,2022-06-17 17:04:25.000,2022-06-17 17:40:09.000,
207,1,50,2022-06-17,,"17:57:19","18:42:29",,,"1",,2022-06-17 17:57:19.000,2022-06-17 18:42:29.000,
208,1,39,2022-06-18,,"12:57:29","13:54:16",,,"1",,2022-06-18 12:57:29.000,2022-06-18 13:54:16.000,
209,1,4,2022-06-20,,"16:48:08","17:35:30",,,"1",,2022-06-20 16:46:26.000,2022-06-20 17:35:30.000,
210,1,7,2022-06-20,,"16:57:02","17:35:40",,,"1",,2022-06-20 16:57:02.000,2022-06-20 17:35:40.000,
211,1,2,2022-06-20,,"16:57:05","17:35:35",,,"1",,2022-06-20 16:57:05.000,2022-06-20 17:35:35.000,
212,1,15,2022-06-20,,"16:57:10","17:35:37",,,"1",,2022-06-20 16:57:10.000,2022-06-20 17:35:37.000,
